title,director,year,country,genre,rating,votes
二十二,郭柯 Ke Guo,2015,中国大陆,纪录片,8.7,304135
战争之王,安德鲁·尼科尔 Andrew Niccol,2005,美国 德国,剧情 犯罪,8.7,393925
步履不停,是枝裕和 Hirokazu Koreeda,2008,日本,剧情 家庭,8.8,302569
血钻,爱德华·兹威克 Edward Zwick,2006,美国 德国 英国,剧情 惊悚 冒险,8.7,403312
千年女优,今敏 Satoshi Kon,2001,日本,动画 剧情 爱情,8.8,296112
机器人之梦,巴勃罗·贝格尔 Pablo Berger,2023,西班牙 法国,剧情 动画 音乐,9.0,228800
谍影重重2,保罗·格林格拉斯 Paul Greengrass,2004,美国 德国,动作 悬疑 惊悚,8.7,376417
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,386206
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,1940,美国,剧情 爱情 战争,8.8,295868
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,2018,美国,动作 科幻 动画 冒险,8.6,715929
弱点,约翰·李·汉考克 John Lee Hancock,2009,美国,剧情 家庭 传记 运动,8.7,336181
谍影重重,道格·里曼 Doug Liman,2002,美国 德国 捷克,动作 悬疑 惊悚,8.6,458077
隐藏人物,特奥多尔·梅尔菲 Theodore Melfi,2016,美国,剧情 传记 历史,8.9,243949
朗读者,史蒂芬·戴德利 Stephen Daldry,2008,美国 德国,剧情 爱情,8.6,472901
